price,millage,year,make,model,city,state,accidents,owners,use
4495,110215,2008,Ford,Escape, Lyndhurst, NJ,0,2.0,Personal
15542,52796,2017,GMC,Savana Cargo Van, Carlstadt, NJ,0,1.0,Personal
22742,75293,2018,Ford,F-150, Carlstadt, NJ,1,1.0,Personal
14987,120954,2015,Honda,Odyssey, Jersey City, NJ,0,1.0,Personal
31686,26739,2017,Audi,S3, Secaucus, NJ,0,1.0,Personal
17492,52037,2013,Mercedes-Benz,GLK, Jersey City, NJ,0,3.0,Personal
33286,4361,2019,Audi,A4, Secaucus, NJ,0,1.0,Personal
39990,7686,2019,Lexus,RX, New York, NY,0,1.0,Personal
18995,94764,2017,Jeep,Grand Cherokee, Brooklyn, NY,0,1.0,Personal
2999,221667,2008,Honda,Odyssey, Brooklyn, NY,0,4.0,Personal
44995,4460,2018,Porsche,Macan, New York, NY,0,1.0,Personal
20942,20276,2017,Subaru,Outback, Carlstadt, NJ,0,1.0,Personal
40990,9079,2019,Lexus,RX, New York, NY,0,1.0,Personal
14997,87009,2013,BMW,3 Series, Jersey City, NJ,0,3.0,Personal
28886,29380,2018,Audi,Q5, Secaucus, NJ,0,2.0,Personal
14995,68277,2015,Toyota,RAV4, Union City, NJ,0,2.0,Personal
15542,50193,2017,GMC,Savana Cargo Van, Carlstadt, NJ,0,1.0,Personal
39901,30134,2017,Mercedes-Benz,GLC, New York, NY,0,1.0,Personal
13995,141701,2011,Ford,Super Duty F-250, Newark, NJ,0,1.0,Personal
9679,120013,2011,Mercedes-Benz,GLK, Jersey City, NJ,0,1.0,Personal
12950,85749,2008,Mercedes-Benz,S-Class, Brooklyn, NY,0,3.0,Personal
17797,30136,2019,Dodge,Grand Caravan, New York, NY,0,1.0,Personal
40495,7012,2019,Lexus,RX, New York, NY,0,1.0,Personal
13881,39842,2019,Volkswagen,Jetta, New York, NY,0,1.0,Personal
21995,78372,2015,BMW,6 Series, Newark, NJ,0,3.0,Fleet
9999,116964,2015,Nissan,Pathfinder, Brooklyn, NY,0,4.0,Personal
