car_name,price,millage,location,history
2008 Jeep Liberty,"$4,995","131,980 miles","4.1 mi - Union City, NJ","No accidents, 3 Owners, Personal use"
2016 Land Rover Discovery Sport,"$19,488","78,644 miles","1.3 mi - Jersey City, NJ","1 accident, 1 Owner, Fleet use"
2009 BMW 1 Series,"$10,972","70,079 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2019 Jeep Wrangler,"$32,797","31,673 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 GMC Terrain,"$20,997","37,987 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Toyota 4Runner,"$31,497","31,198 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2012 Audi A7,"$19,792","80,062 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Personal use"
2011 Toyota RAV4,"$9,999","80,548 miles","2.5 mi - Union City, NJ","No accidents, 3 Owners, Fleet use"
2010 Mercedes-Benz G-Class,"$43,972","107,620 miles","1.3 mi - Jersey City, NJ","1 accident, 3 Owners, Personal use"
2019 Volkswagen Jetta,"$14,897","20,886 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Explorer,"$34,497","30,164 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Jeep Grand Cherokee,"$32,797","20,575 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Explorer,"$30,497","31,244 miles","1.7 mi - Jersey City, NJ","1 accident, 1 Owner, Personal use"
2013 Ford Escape,"$7,800","62,151 miles","4.4 mi - Bayonne, NJ","1 accident, 4 Owners, Personal use"
2015 Toyota Sienna,"$12,999","95,113 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2012 Mercedes-Benz CLS,"$17,497","105,804 miles","1.3 mi - Jersey City, NJ","1 accident, 1 Owner, Personal use"
2017 Nissan Altima,"$12,999","57,743 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2011 Jeep Liberty,"$9,972","87,766 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2014 Toyota 4Runner,"$23,505","44,255 miles","9.2 mi - Elizabeth, NJ","No accidents, 4 Owners, Personal use"
2017 Nissan Rogue,"$15,908","27,635 miles","7.9 mi - Hillside, NJ","No accidents, 2 Owners, Fleet use"
2010 Mercedes-Benz CLS,"$11,972","88,340 miles","1.3 mi - Jersey City, NJ","No accidents, 6 Owners, Fleet use"
2019 Toyota Camry,"$14,750","37,080 miles","16 mi - Bronx, NY","No accidents, 2 Owners, Personal use"
2017 Honda Accord,"$14,505","21,484 miles","9.2 mi - Elizabeth, NJ","No accidents, 1 Owner, Personal use"
2006 Nissan Armada,"$6,450","119,128 miles","5.7 mi - Brooklyn, NY","1 accident, 3 Owners, Personal use"
2012 Ford Transit Connect Van,"$6,995","99,841 miles","14 mi - Jamaica, NY","1 accident, 1 Owner, Personal use"
2016 Nissan Altima,"$7,999","123,551 miles","8.6 mi - Irvington, NJ","No accidents, 1 Owner, Fleet use"
2015 Ford Edge,"$17,495","46,675 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2017 Acura RDX,"$16,990","54,734 miles","10 mi - Elmhurst, NY","No accidents, 1 Owner, Personal use"
2017 Toyota RAV4,"$14,990","19,318 miles","10 mi - Elmhurst, NY","No accidents, 1 Owner, Personal use"
2017 Ford F-150,"$29,000","31,591 miles","23 mi - Butler, NJ","No accidents, 1 Owner, Fleet use"
2013 Toyota RAV4,"$9,500","82,350 miles","10 mi - Linden, NJ","1 accident, 1 Owner, Fleet use"
2019 Lexus RX,"$37,995","7,360 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2010 Mercedes-Benz E-Class,"$8,995","165,023 miles","4.3 mi - Newark, NJ","No accidents, 1 Owner, Personal use"
2019 Volkswagen Jetta,"$13,881","34,631 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$14,777","28,902 miles","11 mi - Union, NJ","No accidents, 1 Owner, Personal use"
2012 Volkswagen Touareg,"$11,995","100,704 miles","5.4 mi - Bayonne, NJ","1 accident, 2 Owners, Fleet use"
2019 Mitsubishi Eclipse Cross,"$15,797","27,494 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
1998 Toyota Camry,"$1,995","197,486 miles","7.1 mi - Staten Island, NY","1 accident, 3 Owners, Fleet use"
2015 Mercedes-Benz GL,"$21,995","92,517 miles","2.9 mi - Union City, NJ","1 accident, 1 Owner, Personal use"
2011 Toyota Prius,"$6,895","100,909 miles","11 mi - Saddle Brook, NJ","1 accident, 2 Owners, Personal use"
2008 Ford Super Duty F-450 Chassis Cab,"$18,995","76,342 miles","8.8 mi - Hasbrouck Heights, NJ","No accidents, 2 Owners, Personal use"
2017 Acura TLX,"$14,905","29,103 miles","9.2 mi - Elizabeth, NJ","1 accident, 1 Owner, Personal use"
2017 Subaru Outback,"$16,995","93,783 miles","17 mi - Emerson, NJ","No accidents, 1 Owner, Personal use"
2018 Honda Accord,"$17,995","90,750 miles","8 mi - Long Island City, NY","No accidents, 1 Owner, Personal use"
2019 Dodge Journey,"$19,197","20,999 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
